Feature,Importance
original_gldm_LargeDependenceHighGrayLevelEmphasis_LV_ES,0.0020080501007073504
original_glcm_Idm_RV_ED,0.0020042534963980218
original_glszm_LowGrayLevelZoneEmphasis_RV_ED,0.0020031412685318534
original_glcm_Imc2_MYO_ES,0.0020011732939561305
original_glcm_Imc1_RV_ES,0.0019909870702833634
original_shape_Maximum2DDiameterRow_MYO_ES,0.0019594239302112965
original_glrlm_RunLengthNonUniformity_LV_ES,0.0019344589091762356
original_glcm_Idm_MYO_ED,0.0019128706580190636
original_shape_SurfaceArea_RV_ED,0.0019068541026223047
original_firstorder_Median_LV_ED,0.0018993369069445268
original_gldm_DependenceVariance_RV_ED,0.001893381866770963
original_glrlm_GrayLevelNonUniformity_RV_ED,0.0018847583643122675
original_gldm_LargeDependenceLowGrayLevelEmphasis_MYO_ES,0.0018846364271657918
original_ngtdm_Busyness_MYO_ES,0.0018655567987334526
original_shape_Elongation_RV_ED,0.0018591735128231743
original_gldm_SmallDependenceLowGrayLevelEmphasis_RV_ES,0.001837649810827635
original_glcm_MCC_MYO_ES,0.0018370321813114504
original_glszm_SmallAreaEmphasis_MYO_ED,0.001834577058995634
original_glcm_ClusterShade_LV_ED,0.0018309678456963163
original_glcm_Id_LV_ED,0.0017908530318602267
original_glszm_SmallAreaEmphasis_RV_ED,0.001778058832646971
original_firstorder_Minimum_MYO_ES,0.0017664303383550543
original_firstorder_TotalEnergy_MYO_ED,0.0017469458987783596
original_glrlm_RunVariance_MYO_ES,0.001698284497871275
original_glcm_Idmn_MYO_ED,0.001693551396715655
original_shape_Elongation_MYO_ED,0.0016851979223581573
original_glszm_SmallAreaHighGrayLevelEmphasis_MYO_ES,0.0016842229584379518
original_shape_LeastAxisLength_MYO_ED,0.0016803777925845445
original_glszm_SmallAreaEmphasis_MYO_ES,0.001678123889942427
original_glszm_SizeZoneNonUniformityNormalized_RV_ES,0.0016634681697624664
original_shape_Sphericity_LV_ED,0.0016336897816347866
original_firstorder_RootMeanSquared_LV_ED,0.001591528444968126
